,Epoch,Generator Loss,Discriminator Loss,Cycle Loss,Identity Loss
0,1,4.10023,3.62571,0.38001,0.29012
1,2,3.685438789,3.358547803,0.34926113,0.276655792
2,3,3.414709769,3.210926733,0.327498954,0.264730654
3,4,3.185867213,3.040159413,0.310937499,0.250473555
4,5,2.932699661,2.929445489,0.298145334,0.242012531
5,6,2.80192075,2.80479447,0.285349972,0.23474284
6,7,2.657805039,2.744513267,0.275005959,0.228959385
7,8,2.568158522,2.632846646,0.269757579,0.221832032
8,9,2.43389741,2.609752552,0.265611902,0.220155264
9,10,2.391490577,2.514173236,0.258368138,0.21444082
10,11,2.320789363,2.485543334,0.249626418,0.213268479
11,12,2.292019838,2.453204423,0.247874686,0.208559402
12,13,2.28654934,2.396622642,0.249316123,0.207317079
13,14,2.298136628,2.400903841,0.24440676,0.205931025
14,15,2.19289662,2.343422258,0.23872383,0.201354859
15,16,2.205108147,2.325978468,0.242331674,0.200001996
16,17,2.180689573,2.320879593,0.236396574,0.200824775
17,18,2.149343475,2.326567692,0.239521034,0.196897291
18,19,2.133708399,2.305637461,0.238185033,0.198473825
19,20,2.201878546,2.25988911,0.235118831,0.194801768
20,21,2.20523816,2.276357369,0.234330137,0.193889367
21,22,2.146448308,2.254453305,0.236500058,0.19602749
22,23,2.199449857,2.25462781,0.23201549,0.195902909
23,24,2.184125126,2.253090593,0.236036935,0.194460073
24,25,2.158410959,2.241954555,0.230779389,0.192294392
25,26,2.108273423,2.247626624,0.232486975,0.193886557
26,27,2.19288787,2.225947369,0.232945214,0.194798949
27,28,2.124996134,2.214876044,0.231988078,0.19178549
28,29,2.192924281,2.246653255,0.234161984,0.194950056
29,30,2.179779195,2.215326432,0.235793233,0.193231155
30,31,2.179541219,2.246792943,0.231869026,0.1910776
31,32,2.122105669,2.223224737,0.235143682,0.194502705
32,33,2.1,2.225825935,0.232409628,0.19139934
33,34,2.110784739,2.216574942,0.235876993,0.191795094
34,35,2.149738647,2.232767371,0.231966715,0.194782198
35,36,2.193138217,2.210776705,0.232829213,0.191563305
36,37,2.1263892,2.2,0.233554834,0.192464568
37,38,2.103328785,2.210758724,0.235531065,0.191182957
38,39,2.112406893,2.220152882,0.23603143,0.191158977
39,40,2.164138081,2.232501727,0.23101674,0.19341898
40,41,2.134163544,2.226071942,0.23365202,0.192486549
41,42,2.106841554,2.235292289,0.2315518,0.190819216
42,43,2.101933868,2.223560954,0.233929368,0.19
43,44,2.148217633,2.206237459,0.233706522,0.190727464
44,45,2.165766249,2.213569476,0.235650536,0.190540406
45,46,2.131362397,2.200584641,0.235565835,0.194014338
46,47,2.123176469,2.22609741,0.234843875,0.192486965
47,48,2.149864068,2.206357961,0.23,0.194089968
48,49,2.186289055,2.224621762,0.231641787,0.191501204
49,50,2.169135577,2.23692866,0.235303851,0.193524151
